trial_id,km,ambiente_seca,ambiente_umida,ct,fc,ibutg,interna,interna_pele,pacing,pele,pse,st,tpeito,umidade_absoluta,umidade_relativa,velocidade,vento
12,3,33.40,28.65,3.00,158.00,30.08,37.80,3.07,5.65,34.73,11.00,5.00,34.40,0.03,71.00,10.62,0.00
12,4,33.40,28.90,3.00,162.00,30.25,38.20,2.85,5.69,35.35,13.00,6.00,32.00,0.03,71.00,10.55,0.00
12,5,33.20,28.70,3.00,169.00,30.05,38.54,2.80,5.63,35.74,15.00,6.00,33.60,0.03,71.00,10.65,0.00
12,6,33.00,28.50,4.00,173.00,29.85,38.84,2.78,5.67,36.06,15.00,6.00,35.00,0.03,71.00,10.59,0.00
12,7,33.10,28.60,4.00,179.00,29.95,39.20,3.02,5.67,36.18,17.00,7.00,34.00,0.03,71.00,10.59,0.00
12,8,33.20,28.70,4.00,183.00,30.05,39.54,2.62,5.73,36.92,17.00,7.00,33.20,0.03,71.00,10.47,0.00
12,9,33.15,28.65,4.00,188.00,30.00,39.56,2.62,5.70,36.94,19.00,7.00,35.20,0.03,71.00,10.52,0.00
12,10,33.10,28.60,4.00,188.00,29.95,40.23,3.71,5.68,36.52,19.00,7.00,34.60,0.03,71.00,10.56,0.00
13,1,33.00,28.50,4.00,141.00,29.85,37.05,2.81,5.05,34.24,15.00,7.00,34.80,0.03,70.00,11.88,0.00
13,2,33.00,29.00,4.00,146.00,30.20,37.38,2.54,5.50,34.84,16.00,7.00,35.20,0.03,73.00,10.91,0.00
13,3,33.00,29.00,4.00,144.00,30.20,37.88,2.89,5.32,34.99,17.00,7.00,34.40,0.03,73.00,11.29,0.00
13,4,33.00,29.00,4.00,141.00,30.20,38.19,2.79,5.40,35.40,17.00,7.00,32.20,0.03,73.00,11.12,0.00
13,5,33.00,28.50,4.00,138.00,29.85,38.20,3.59,5.54,34.61,17.00,7.00,33.60,0.03,70.00,10.82,0.00
13,6,33.00,28.00,4.00,139.00,29.50,38.49,3.38,5.67,35.11,18.00,7.00,35.20,0.02,67.00,10.58,0.00
13,7,33.00,28.50,4.00,141.00,29.85,38.67,3.56,5.88,35.11,18.00,7.00,34.20,0.03,70.00,10.20,0.00
13,8,33.00,29.00,4.00,147.00,30.20,38.76,3.95,6.04,34.81,18.00,7.00,33.80,0.03,73.00,9.93,0.00
13,9,33.00,28.50,4.00,133.00,29.85,38.76,4.03,6.18,34.73,19.00,7.00,35.20,0.03,70.00,9.71,0.00
13,10,33.00,28.00,4.00,169.00,29.50,38.73,3.31,6.24,35.42,20.00,7.00,35.60,0.02,67.00,9.62,0.00
14,1,33.00,28.50,1.00,115.00,29.85,36.65,2.35,6.88,34.30,8.00,4.00,34.40,0.03,70.00,8.72,0.00
14,2,33.00,28.00,1.00,127.00,29.50,36.90,2.19,6.58,34.71,9.00,4.00,34.80,0.02,67.00,9.11,0.00
14,3,33.00,28.50,2.00,131.00,29.85,37.20,2.34,6.47,34.86,10.00,5.00,34.60,0.03,70.00,9.27,0.00
14,4,33.00,29.00,2.00,142.00,30.20,37.52,2.02,6.34,35.50,11.00,5.00,33.20,0.03,73.00,9.46,0.00
14,5,33.00,28.50,2.00,141.00,29.85,37.85,2.52,6.25,35.33,12.00,6.00,34.20,0.03,70.00,9.60,0.00
14,6,33.00,28.00,3.00,151.00,29.50,38.18,2.66,6.17,35.52,14.00,6.00,34.80,0.02,67.00,9.73,0.00
14,7,33.00,28.50,3.00,151.00,29.85,38.39,2.42,6.14,35.97,15.00,6.00,34.80,0.03,70.00,9.78,0.00
14,8,33.00,29.00,3.00,157.00,30.20,38.65,2.72,6.09,35.93,16.00,6.00,33.80,0.03,73.00,9.85,0.00
14,9,33.00,29.00,3.00,162.00,30.20,38.91,3.58,6.06,35.33,17.00,7.00,35.20,0.03,73.00,9.91,0.00
14,10,33.00,29.00,4.00,168.00,30.20,39.09,3.03,5.95,36.06,20.00,7.00,36.60,0.03,73.00,10.09,0.00
15,1,32.95,28.75,1.00,115.00,30.01,37.53,3.56,7.98,33.97,7.00,4.00,35.20,0.03,71.00,7.52,0.00
15,2,32.80,28.50,1.00,123.00,29.79,37.77,4.73,7.88,33.04,8.00,4.00,35.80,0.03,71.00,7.61,0.00
15,3,32.95,28.55,2.00,134.00,29.87,38.00,4.95,7.79,33.05,10.00,5.00,35.40,0.03,71.00,7.70,0.00
15,4,33.10,28.60,2.00,134.00,29.95,38.24,5.63,7.69,32.61,11.00,5.00,33.40,0.03,71.00,7.80,0.00
15,5,33.15,28.55,2.00,137.00,29.93,38.42,5.11,7.78,33.31,11.00,5.00,35.60,0.03,71.00,7.72,0.00
15,6,33.20,28.50,3.00,137.00,29.91,38.60,5.79,7.51,32.81,12.00,5.00,35.80,0.03,71.00,7.99,0.00
15,7,33.15,28.55,3.00,138.00,29.93,38.74,5.75,7.45,32.99,13.00,5.00,35.20,0.03,71.00,8.05,0.00
15,8,33.10,28.60,3.00,144.00,29.95,38.91,6.37,7.38,32.54,13.00,5.00,33.60,0.03,71.00,8.13,0.00
15,9,33.10,28.60,3.00,149.00,29.95,38.98,5.80,7.28,33.18,14.00,5.00,35.40,0.03,71.00,8.24,0.00
15,10,33.10,28.60,4.00,171.00,29.95,39.15,5.92,7.00,33.23,17.00,6.00,35.40,0.03,71.00,8.57,0.00
16,1,33.10,28.30,1.00,146.00,29.74,37.45,3.43,6.03,34.02,7.00,4.00,35.40,0.03,71.00,9.94,0.00
16,2,33.10,28.50,1.00,154.00,29.88,37.60,3.99,5.42,33.61,7.00,4.00,35.40,0.03,71.00,11.08,0.00
16,3,33.15,28.80,1.00,152.00,30.11,38.00,4.16,5.25,33.84,9.00,5.00,35.40,0.03,72.50,11.43,0.00
16,4,33.20,29.10,2.00,167.00,30.33,38.36,4.97,5.08,33.39,9.00,5.00,33.20,0.03,74.00,11.80,0.00
16,5,33.15,28.85,1.00,174.00,30.14,38.71,4.84,4.96,33.87,9.00,4.00,34.20,0.03,72.50,12.10,0.00
16,6,33.10,28.60,2.00,177.00,29.95,39.07,5.51,4.88,33.56,13.00,6.00,35.40,0.03,71.00,12.31,0.00
16,7,33.10,28.60,1.00,185.00,29.95,40.08,5.77,4.80,34.31,13.00,6.00,35.00,0.03,71.00,12.50,0.00
16,8,33.10,28.60,3.00,174.00,29.95,40.08,6.65,4.69,33.43,11.00,6.00,34.20,0.03,71.00,12.80,0.00
16,9,32.95,28.40,3.00,173.00,29.77,40.25,6.07,4.69,34.18,11.00,6.00,35.80,0.03,71.00,12.80,0.00
16,10,32.80,28.20,2.00,173.00,29.58,40.48,6.67,4.69,33.81,11.00,5.00,36.80,0.03,71.00,12.79,0.00
17,1,32.90,28.45,1.00,139.00,29.79,36.99,1.95,6.00,35.04,7.00,5.00,35.60,0.03,71.00,10.00,0.00
17,2,33.10,28.70,2.00,154.00,30.02,37.22,2.31,5.76,34.91,7.00,5.00,35.80,0.03,71.00,10.42,0.00
17,3,33.20,28.80,2.00,161.00,30.12,37.46,2.59,5.66,34.87,8.00,5.00,35.60,0.03,72.50,10.61,0.00
17,4,33.30,28.90,2.00,172.00,30.22,37.74,1.98,5.49,35.76,11.00,5.00,33.00,0.03,74.00,10.93,0.00
17,5,33.20,28.70,3.00,176.00,30.05,38.06,2.55,5.37,35.51,12.00,5.00,34.40,0.03,72.50,11.17,0.00
17,6,33.10,28.50,3.00,181.00,29.88,38.52,2.98,5.29,35.54,12.00,6.00,35.80,0.03,71.00,11.35,0.00
17,7,33.00,28.50,3.00,184.00,29.85,38.97,3.41,5.23,35.56,15.00,6.00,35.00,0.03,71.00,11.48,0.00
17,8,32.90,28.50,3.00,184.00,29.82,39.10,2.83,5.21,36.27,15.00,6.00,34.20,0.03,71.00,11.51,0.00
17,9,33.00,28.55,3.00,194.00,29.89,39.19,3.22,5.17,35.97,16.00,6.00,35.80,0.03,71.00,11.61,0.00
17,10,33.10,28.60,4.00,193.00,29.95,39.43,2.85,5.08,36.58,18.00,6.00,35.40,0.03,71.00,11.81,0.00
18,1,33.00,28.60,1.00,162.00,29.92,37.05,2.84,5.28,34.21,7.00,4.00,35.60,0.03,71.00,11.36,0.00
18,2,33.10,28.90,1.00,178.00,30.16,37.26,2.80,5.00,34.46,9.00,4.00,35.80,0.03,71.00,12.00,0.00
18,3,33.30,28.85,2.00,188.00,30.19,37.75,2.94,4.81,34.81,10.00,5.00,35.60,0.03,71.00,12.49,0.00
18,4,33.50,28.80,2.00,180.00,30.21,37.96,2.82,4.65,35.14,11.00,5.00,32.20,0.03,71.00,12.91,0.00
18,5,33.25,28.70,3.00,190.00,30.07,38.11,3.07,4.63,35.04,12.00,5.00,34.80,0.03,71.00,12.95,0.00
18,6,33.00,28.60,4.00,182.00,29.92,38.25,2.71,4.72,35.54,14.00,6.00,35.00,0.03,71.00,12.72,0.00
18,7,33.15,28.45,3.00,178.00,29.86,38.95,3.91,4.89,35.04,16.00,6.00,34.40,0.03,71.00,12.27,0.00
18,8,33.30,28.30,4.00,153.00,29.80,39.32,3.94,4.86,35.38,17.00,7.00,34.20,0.03,71.00,12.34,0.00
18,9,32.80,28.45,4.00,175.00,29.76,39.61,3.65,5.14,35.96,18.00,6.00,35.60,0.03,71.00,11.66,0.00
18,10,32.30,28.60,4.00,174.00,29.71,39.87,4.46,5.17,35.41,19.00,6.00,35.60,0.02,71.00,11.61,0.00
19,1,33.15,28.50,1.00,140.00,29.90,37.29,4.12,6.23,33.17,8.00,5.00,36.40,0.03,71.00,9.63,0.00
19,2,33.10,28.50,2.00,153.00,29.88,37.54,3.64,6.00,33.90,9.00,5.00,34.80,0.03,71.00,10.00,0.00
19,3,33.15,28.55,2.00,162.00,29.93,37.85,3.95,5.88,33.90,12.00,5.00,35.20,0.03,71.00,10.21,0.00
19,4,33.20,28.60,2.00,168.00,29.98,38.17,4.13,5.80,34.04,12.00,5.00,32.40,0.03,71.00,10.34,0.00
19,5,33.10,28.20,2.00,172.00,29.67,38.49,4.37,5.76,34.12,13.00,5.00,33.80,0.03,69.50,10.41,0.00
19,6,33.00,27.80,2.00,179.00,29.36,38.78,4.66,5.73,34.12,14.00,5.00,36.40,0.02,68.00,10.48,0.00
19,7,33.10,27.85,3.00,183.00,29.43,39.15,4.72,5.68,34.43,15.00,6.00,34.20,0.02,68.00,10.57,0.00
19,8,33.20,27.90,3.00,188.00,29.49,39.50,4.76,5.64,34.74,16.00,6.00,34.80,0.03,68.00,10.64,0.00
19,9,33.30,27.95,3.00,189.00,29.56,39.79,4.81,5.61,34.98,17.00,6.00,36.00,0.03,69.50,10.69,0.00
